Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
-1,root_-1,-1,77,"['urban data operationalization', 'urban data management', 'new urban data', 'urban soundscape evaluation', 'urban sound recognition', 'training data', 'SVM model', 'stacking ensemble model', 'spatial modeling approach', 'spatial dynamic model', 'soundscape classification model', 'reduced order modelling', 'quantitative spatial model', 'promising model', 'predefined model', 'modeling technique', 'microblogging data', 'meta model', 'design data', 'dataset', 'data', 'big data application', 'Big data analytics', 'big data', 'audio data corpus', 'word tree', 'web', 'various regressors', 'UPM theory', 'thing system', 'synthetic minority', 'support vector machine', 'structural attribute', 'speech recognition', 'soundscape recognition', 'skateboarding', 'regression', 'player personality behavior', 'player act', 'personality classification task', 'personality classification method', 'performance simulation', 'parkour spot exploration', 'online educational game', 'noise annoyance assessment', 'new framework', 'natural language processing', 'mosquito development', 'MapReduce framework', 'layout synthesis', 'Information System mapping', 'information system', 'human physiological change', 'human natural language', 'human annotation', 'heterogeneity', 'geospatial simulation framework', 'geometric design feature', 'generative design', 'generative architectural', 'exercise video game', 'ethnic heterogeneity', 'ensemble learning', 'effective mosquito control', 'educational game', 'discriminatory bias', 'different spatial level', 'different personality', 'Dengue disease dynamic', 'contextual information', 'computational linguistics', 'base regressors', 'automatic sound recognizer', 'audio event', 'adaptive boosting', 'active ageing', 'acoustic environment']",46,"[1, 21, 33, 53, 54, 56, 58, 64, 68, 70, 75, 76, 98, 103, 108, 109, 112, 121, 148, 150, 151, 152, 173, 174, 179, 205, 207, 250, 297, 308, 332, 357, 369, 381, 385, 386, 408, 414, 442, 487, 558, 564, 566, 580, 581, 583]",0.9494,50,35,12
-1,root_-1,0,40,"['smart city logistics', 'smart city initiative', 'smart city development', 'smart city', 'Korean smart city', 'cognitive smart city', 'urban energy planning', 'strategic sustainable energy', 'Smart sustainable city', 'energy consumption prediction', 'energy consumption', 'electricity consumption data', 'cognitive city', 'Building energy consumption', 'wearable fall detection', 'urban prediction', 'sustainable urbanisation strategy', 'Sustainable urban governance', 'sustainable urban development', 'Spatial crime simulation', 'social network analysis', 'prediction', 'power consumption', 'offender agent', 'nexus governance debate', 'judicial administration', 'human fall', 'hot spot analysis', 'height prediction', 'Energy Information', 'electric load forecasting', 'digital urban governance', 'crime prediction', 'crime forecasting', 'crime distribution map', 'crime data', 'crime analysis', 'collusion occurrence probability', 'basin governance', 'annual heating demand']",27,"[1, 40, 47, 61, 64, 67, 68, 70, 76, 132, 143, 148, 150, 151, 152, 174, 179, 199, 207, 297, 308, 369, 377, 442, 487, 532, 541]",0.9494,50,35,12
-1,root_-1,1,55,"['recurrent neural network', 'neural network algorithm', 'GAN neural network', 'detection neural network', 'deep neural network', 'Artificial neural network', 'machine learning technique', 'machine learning algorithms', 'machine learning', 'LudoVico UX machine', 'interactive machine learning', 'convolutional network architecture', 'training spot detector', 'Spatial clustering', 'shared idea', 'saliency map', 'reviewed ML method', 'random forest', 'optimization theory', 'novel data mining', 'naïve Bayes classifier', 'multiscale clustering', 'Machine', 'layer deep', 'latent manifold', 'knowledge spillover', 'KNN algorithm', 'intelligent decision support', 'Intelligence augmentation', 'image retrieval', 'image processing technique', 'fuzzy set', 'feature selection technique', 'feature selection', 'exogenous feature', 'descriptor', 'deep reinforcement', 'deep learning algorithms', 'deep learning', 'decision making', 'counting', 'conventional counting', 'constructive preference elicitation', 'collaborative chat', 'classifier', 'classification accuracy', 'bidding procedure', 'automatic classification', 'automated detection student', 'automated classification', 'autoencoders', 'artificial intelligence technique', 'artificial intelligence approach', 'algorithm', 'agglomerative clustering']",44,"[21, 33, 36, 47, 53, 54, 56, 58, 61, 67, 75, 76, 88, 98, 103, 108, 112, 121, 132, 143, 152, 173, 174, 205, 250, 266, 297, 308, 354, 377, 381, 385, 386, 390, 399, 408, 414, 532, 558, 564, 566, 568, 580, 581]",0.9494,50,35,12
-1,root_-1,2,12,"['turbulent air', 'turbulent flow structure', 'mathematical fusion model', 'influence air', 'Gaussian plume model', 'wind gust', 'water', 'support vector regression', 'signal frequency unification', 'rainy season', 'Informatics field', 'frequency domain']",10,"[12, 36, 56, 61, 148, 199, 246, 381, 386, 558]",0.9494,50,35,12
-1,root_0,-1,36,"['urban building', 'building reconstruction', 'urban waterlogging', 'urban technology', 'urban resilience', 'urban infrastructure category', 'technical construction', 'simplified urban setup', 'road construction sector', 'generative urban network', 'construction technique', 'complex urban environment', 'building', 'artificial urban modeling', 'aggregated building', 'user experience design', 'street view', 'socioeconomic variable', 'road traffic image', 'Resilient structural system', 'residential stability', 'real estate market', 'multiple infrastructure system', 'Livelihood orientation', 'land readjustment', 'intercity corporate network', 'hedonic price model', 'furniture', 'flood disaster spread', 'economic agenda', 'designer interact', 'climate variable', 'climate resilience', 'climate prediction', 'city pattern image', 'city modelling']",29,"[1, 12, 21, 36, 40, 53, 56, 58, 75, 103, 108, 109, 112, 132, 151, 166, 199, 205, 207, 250, 266, 275, 357, 377, 385, 390, 408, 414, 532]",0.9253,20,15,15
-1,root_0,0,15,"['urban transport planning', 'urban planning', 'urban design theory', 'urban design method', 'environment design planning', 'urban planner', 'regional planning', 'participatory planning', 'greenway planning', 'appropriate planning response', 'mentor', 'land use', 'land rent measurement', 'italian regional science', 'format public consultation']",18,"[21, 36, 40, 54, 61, 75, 88, 103, 109, 166, 173, 179, 205, 250, 266, 354, 414, 581]",0.9253,20,15,15
-1,root_0,1,22,"['urban area exerts', 'urban area', 'urban American city', 'urban warfare operation', 'urban space', 'urban neighbourhood densification', 'urban morphology', 'urban environment', 'urban economy', 'urban coverage condition', 'urban characteristic parameter', 'Urban area load', 'residential area', 'many city', 'German residential area', 'geospatial urban', 'city floor', 'city', 'safer parking', 'location choice', 'different neighbourhood archetype', 'City factor']",22,"[1, 21, 33, 47, 67, 68, 108, 109, 121, 246, 275, 357, 369, 381, 385, 386, 390, 399, 408, 442, 487, 564]",0.9253,20,15,15
-1,root_1,-1,1,['crowd density estimation'],1,[354],0.9759000000000001,20,10,12
-1,root_1,0,28,"['sensor network', 'physiological sensor data', 'wireless sensor', 'wearable device data', 'sensor', 'IoT big data', 'heating network', 'visible satellite', 'unmanned aircraft flight', 'stress sensing', 'smartphone', 'navigation system', 'mobile application', 'micromobility vehicle', 'IoT service', 'intrusion detection method', 'intelligent unmanned technology', 'healthcare application', 'health monitoring', 'GNSS signal', 'flight', 'electricity theft', 'electric bicycle', 'detection system', 'compressed sensing', 'ax accelerometer signal', 'alarm rate', 'aerial infrastructure']",20,"[12, 33, 40, 64, 76, 143, 148, 150, 152, 246, 266, 275, 297, 332, 354, 357, 381, 532, 541, 568]",0.9759000000000001,20,10,12
-1,root_1,1,12,"['environmental data', 'environmental monitoring task', 'heterogeneous datasets', 'environment relation', 'environment influence stress', 'environment identification', 'elevation data', 'citizen science data', 'pollution quality prediction', 'LiDAR resource', 'density estimation', 'crowd surveillance']",13,"[33, 53, 58, 61, 108, 121, 132, 174, 207, 275, 357, 487, 568]",0.9759000000000001,20,10,12
