Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
10,20,"['urban morphology approach', 'heritage area vitality', 'big geospatial data', 'Chinese city', 'urban vitality']",80,"['urban morphology approach', 'heritage area vitality', 'urban morphology', 'urban morphological element', 'urban vitality', 'heritage adaptation', 'historical heritage conservation', 'urban construction', 'heritage conservation', 'historical heritage area', 'heritage area', 'urban area', 'historical heritage', 'big geospatial data', 'geospatial data', 'big geospatial', 'heritage', 'Chinese city', 'city', 'geospatial', 'area vitality', 'morphology approach', 'big data', 'community economic development', 'morphology', 'individual structure', 'construction', 'different spatial distribution', 'spatial distribution', 'morphological element', 'machine learning', 'area', 'morphological element suitable', 'economic development', 'data', 'regression', 'diurnal variation', 'vitality measure', 'structure', 'adaptation', 'conservation', 'vibrancy', 'daily variation', 'creativity', 'general conservation', 'vitality', 'development', 'learning', 'societal creativity', 'analysis', 'community', 'measure', 'following result', 'contribution', 'conservation method', 'concept', 'general conservation method', 'social benefit', 'replicable framework', 'variation', 'sample', 'framework', 'factor', 'study', 'benefit', 'element', 'element suitable', 'support', 'suitable', 'theoretical support', 'form', 'approach', 'machine', 'understanding', 'distribution', 'method', 'result', 'focus', 'early stage', 'stage']"
10,80,"['medical IoT sensor', 'deep learning concept', 'sustainable smart city', 'cloud network', 'health data']",78,"['medical IoT sensor', 'sustainable smart city', 'IoT sensor network', 'deep learning', 'IoT sensor', 'smart city', 'deep learning concept', 'health data', 'health monitoring', 'healthcare data', 'remote health', 'care data', 'remote health monitoring', 'health data analysis', 'sensor network', 'health care data', 'cloud network', 'sensor', 'urban planning', 'city', 'low accuracy', 'data', 'cloud network architecture', 'feature extraction', 'healthcare', 'Effective task', 'task', 'sustainability', 'network', 'algorithm', 'health care', 'health', 'machine', 'network architecture', 'accuracy', 'doctor', 'conservative machine', 'architecture', 'physical feature extraction', 'learning', 'need immediate consultancy', 'feature', 'monitoring', 'planning', 'immediate consultancy', 'patient', 'physical feature', 'data analysis', 'care', 'functionality', 'precision', 'learning concept', 'consultancy', 'critical condition', 'process', 'need', 'concept', 'analysis', 'immediate relief measure', 'measure', 'framework', 'important key', 'immediate relief', 'important key factor', 'sensitivity', 'year', 'condition', 'Performance', 'extraction', 'key', 'paper', 'methodology', 'relief measure', 'factor', 'recent year', 'key factor', 'relief', 'term']"
10,101,"['Energy consumption forecasting', 'temporal ensemble forecasting', 'demand response initiative', 'ensemble energy consumption', 'residential electric consumption']",168,"['Energy consumption forecasting', 'electric consumption forecasting', 'accurate consumption forecasting', 'consumption forecasting', 'load forecasting', 'residential electric consumption', 'ensemble forecasting', 'electric consumption data', 'temporal ensemble forecasting', 'ensemble forecasting model', 'forecasting', 'forecasting model', 'dynamic electric consumption', 'ensemble forecasting scheme', 'accurate forecasting', 'accurate electric consumption', 'weekly forecasting', 'ensemble energy consumption', 'electric consumption', 'demand response initiative', 'smart metering', 'historical electric consumption', 'electric consumption profile', 'forecasting scheme', 'predictive modeling', 'electric consumption characteristic', 'ensemble model', 'energy consumption', 'forecasting horizon', 'smart metering infrastructure', 'smart meter', 'consumption data', 'occupant energy use', 'weekly forecasting horizon', 'demand response', 'energy use', 'power system planning', 'cluster analysis', 'prediction', 'deep learning', 'forecasting error', 'accurate consumption', 'floor level prediction', 'metering infrastructure', 'consumption data belongs', 'scale apartment', 'spatial scale apartment', 'residential building', 'energy sector', 'prediction accuracy', 'level prediction', 'apartment', 'cluster', 'ensemble scheme', 'apartment level', 'occupant energy', 'deep learning variant', 'metering', 'power system', 'urban area', 'ensemble energy', 'high occupant energy', 'learning variant', 'learning', 'ensemble model diversity', 'consumption profile', 'energy wastage', 'peak pricing', 'dataset', 'meter', 'grid operation', 'data', 'consumption characteristic', 'building', 'building owner', 'ensemble scheme verify', 'appropriate model', 'planning', 'power', 'decarbonization', 'system planning', 'energy', 'stable grid operation', 'research area', 'hourly basis', 'consumption', 'critical peak pricing', 'data belongs', 'sustainability', 'study', 'active research area', 'floor', 'spatial scale', 'dynamic', 'modeling', 'infrastructure', 'area', 'consumer', 'model diversity', 'sector', 'temporal scale', 'use behavior variability', 'accuracy', 'analysis', 'peak', 'occupant', 'algorithm', 'MAPE', 'devised model', 'machine', 'sequential behavior', 'tariff', 'sustainability implication', 'suggest', 'demand', 'year', 'floor level', 'finding suggest', 'research', 'use', 'behavior variability', 'work', 'characteristic', 'horizon', 'high occupant', 'initiative', 'active research', 'period', 'granularity', 'model', 'scale', 'load', 'response initiative', 'consumer involvement', 'experimental finding suggest', 'error', 'critical peak', 'basis', 'search', 'belongs', 'response', 'wastage', 'behavior', 'system', 'owner', 'impact', 'implication', 'pricing', 'abundance', 'variability', 'finding', 'level', 'experimental finding', 'diversity', 'performance', 'availability', 'variant', 'profile', 'paper', 'operation', 'aim', 'involvement', 'verify', 'scheme', 'superior performance', 'result', 'effectiveness', 'scheme verify']"
10,192,"['climate solution research', 'machine learning', 'urban planning', 'remote sensing', 'differentiated climate change']",72,"['climate solution research', 'urban planning', 'climate solution', 'climate change mitigation', 'machine learning', 'urban infrastructure provision', 'machine learning study', 'climate change', 'big data', 'differentiated climate change', 'urban infrastructure', 'climate', 'differentiated climate', 'urban area', 'machine learning method', 'remote sensing', 'urban transportation', 'global mitigation potential', 'applied machine learning', 'global mitigation', 'Artificial intelligence', 'data', 'architecture', 'policy solution', 'change mitigation', 'learning method', 'learning', 'mitigation potential', 'infrastructure', 'mitigation', 'building', 'sensing', 'planning', 'infrastructure provision', 'intelligence', 'transportation', 'area', 'solution research', 'applied machine', 'systematic review', 'street', 'generic recommendation', 'research', 'Machine', 'learning study', 'study', 'relevant body', 'household scale', 'emergence', 'policy', 'scale', 'scientific discipline', 'year', 'change', 'contexts', 'framework', 'literature span', 'specific contexts', 'provision', 'recommendation', 'method', 'relevance', 'household', 'solution', 'field', 'literature', 'review', 'span', 'full potential', 'body', 'discipline', 'potential']"
10,224,"['urban behaviour', 'energy modelling', 'big data', 'occupant', 'urban sensing']",59,"['urban behaviour', 'urban sensing', 'urban data', 'energy usage pattern', 'energy usage', 'occupant behaviour', 'energy modelling', 'energy use', 'urban scale', 'big data', 'city', 'data', 'energy model', 'occupant', 'behavioural profile', 'modelling', 'building', 'mobility', 'modelling technique', 'intrinsic occupant', 'use behavioural profile', 'energy', 'traditional model', 'usage pattern', 'behaviour', 'sensing', 'model', 'usage', 'survey paper', 'survey', 'pattern', 'direction', 'analysis', 'application', 'use', 'profile', 'scale', 'range', 'proliferation', 'opportunity', 'future direction', 'multiple scale', 'recommendation', 'source', 'understanding', 'work', 'approach', 'set', 'literature', 'summary', 'technique', 'review', 'different source', 'none', 'critical summary', 'related review', 'paper', 'unprecedented opportunity', 'gap']"
10,239,"['urban land use', 'cellular automata', 'convolutional neural network', 'use change simulation', 'morphological characteristic']",64,"['urban land use', 'land use pattern', 'land use change', 'cellular automata', 'urban planning', 'urban land', 'land use', 'multiple land use', 'convolutional neural network', 'neural network', 'multiple land', 'automata', 'land parcel', 'use change simulation', 'morphological characteristic', 'land', 'neighborhood effect', 'ecological control', 'change simulation', 'ecological control strategy', 'cell', 'VCA model', 'neighborhood level', 'several VCA model', 'neighborhood', 'planning', 'pattern', 'use pattern', 'transition suitability', 'use change', 'simulation accuracy', 'developmental potential', 'simulation', 'decision support', 'transition', 'fine scale', 'driving factor', 'driving', 'study', 'characteristic', 'change', 'accuracy', 'network', 'model', 'feature', 'control strategy', 'effect', 'control', 'scale', 'machine', 'suitability', 'exploration', 'use', 'level', 'decision', 'strategy', 'detail', 'potential', 'parcel', 'factor', 'method', 'relationship', 'result', 'support']"
10,306,"['sustainable Mobility', 'segmentation', 'energy Storage', 'Small Museum', 'bus']",22,"['sustainable Mobility', 'energy Storage', 'bus', 'energy', 'segmentation', 'Mobility', 'implementation', 'Storage', 'Small Museum', 'noise', 'topic', 'Museum', 'Tool', 'proceeding', 'conference', 'Control', 'preface', 'paper', 'contain', 'proceeding contain', 'focus', 'special focus']"
10,322,"['Effective urban ventilation', 'outdoor wind environment', 'cross ventilation potential', 'ventilation index', 'indoor building ventilation']",142,"['Effective urban ventilation', 'urban ventilation', 'building ventilation potential', 'building ventilation', 'indoor building ventilation', 'building natural ventilation', 'ventilation index', 'natural ventilation assessment', 'natural ventilation potential', 'novel ventilation index', 'ventilation potential', 'cross ventilation potential', 'ventilation assessment', 'outdoor wind environment', 'natural ventilation', 'natural ventilation requirement', 'wind environment', 'ventilation requirement', 'novel ventilation', 'cross ventilation', 'CFD simulation', 'expensive CFD simulation', 'ventilation', 'outdoor wind', 'CFD model', 'wind', 'building design', 'outdoor computational fluid', 'wind speed ratio', 'current building code', 'computational fluid dynamic', 'coupled CFD simulation', 'urban environment', 'isothermal CFD simulation', 'wind tunnel', 'wind speed', 'turbulent model', 'wind tunnel experiment', 'building code', 'computational fluid', 'urban planning', 'indoor building', 'current building', 'fluid dynamic', 'building', 'coupled indoor', 'design variable', 'parametric design', 'indoor area', 'decent urban planning', 'outdoor interaction', 'prediction accuracy', 'indoor', 'machine learning', 'parametric design variation', 'city', 'early design stage', 'key design variable', 'outdoor reference area', 'linear regression', 'outdoor space', 'absolute indoor', 'design option', 'regression model', 'design support', 'design stage', 'data', 'multivariate linear regression', 'speed ratio', 'outdoor', 'quick early design', 'prediction', 'multivariate', 'simulation result', 'fluid', 'outdoor reference', 'early design support', 'experiment data', 'early design', 'linear regression model', 'learning', 'simulation', 'tunnel experiment data', 'design variation', 'different design option', 'designer', 'design', 'regression', 'environment', 'absolute percentage error', 'percentage error', 'different design', 'engineer', 'mean absolute percentage', 'area', 'accuracy', 'index considers', 'model', 'model display', 'planning', 'speed', 'reference area', 'tunnel experiment', 'absolute percentage', 'code', 'dynamic', 'key design', 'assessment', 'ground level', 'tunnel', 'requirement', 'ground', 'potential', 'variable', 'mean absolute', 'deterioration', 'percentage', 'ratio', 'experiment', 'interaction', 'index', 'machine', 'considers', 'space', 'result', 'guideline', 'literature', 'error', 'support', 'variation', 'option', 'cross', 'display', 'absolute', 'demonstration', 'novel', 'level', 'standard', 'reference', 'gap', 'paper', 'stage']"
10,349,"['urban design parameter', 'sustainable campus', 'generative design approach', 'energy performance', 'building coverage ratio']",99,"['urban design parameter', 'campus design parameter', 'urban design approach', 'campus design', 'urban design', 'generative design approach', 'qualified urban environment', 'generative design', 'urban geometric form', 'urban form scenario', 'urban environment', 'design decision', 'design parameter', 'design strategy', 'sustainable campus', 'design approach', 'building coverage ratio', 'reliable design decision', 'energy performance', 'building', 'building coverage', 'parametric performance modeling', 'parametric modeling', 'design alternative', 'design', 'reliable design', 'performance modeling', 'urban form', 'parametric performance', 'possible design', 'reinforcement learning', 'optimal solar potential', 'energy efficient', 'multivariate analysis', 'urban performance', 'performance criterion', 'regression spline approach', 'optimal energy balance', 'adaptive regression spline', 'adaptive regression', 'multivariate adaptive regression', 'solar radiation', 'regression spline', 'solar potential', 'optimal energy', 'learning', 'multiple performance', 'modeling', 'energy balance', 'sky view factor', 'spline approach', 'geometric form', 'new methodology', 'environment', 'regression', 'performance', 'Multivariate relationship', 'energy', 'sky view', 'multivariate', 'campus', 'view factor', 'analysis', 'efficient', 'form scenario', 'reinforcement', 'methodology', 'coverage ratio', 'strategy', 'view', 'decision', 'extensive research', 'guideline', 'spline', 'algorithm', 'parameter', 'research', 'form', 'sample', 'coverage', 'radiation', 'relationship contribute', 'ratio', 'potential', 'relationship', 'approach', 'scenario', 'alternative', 'contribute', 'threshold', 'show', 'finding show', 'decade', 'finding', 'criterion', 'challenge', 'balance', 'major challenge', 'factor']"
10,403,"['visualization', 'Oriole', 'conference', 'Printing', 'proceeding']",13,"['visualization', 'conference', 'Printing', 'paper', 'Oriole', 'topic', 'Detection', 'proceeding', 'contain', 'Using', 'proceeding contain', 'focus', 'special focus']"
