Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
4,10,"['urban heat island', 'complex network theory', 'urban environmental study', 'machine learning technique', 'UHI concept']",86,"['urban heat island', 'urban environmental study', 'urban environment', 'total urban environment', 'urban planning', 'urbanized world', 'urban heat', 'urban environmental community', 'complex network theory', 'complex network', 'heat island', 'heat mitigation', 'network theory', 'environmental study', 'complex dynamic system', 'complex system', 'heat', 'data science', 'machine learning technique', 'UHI concept', 'environmental community', 'machine learning', 'complex dynamic', 'causal inference', 'dynamic system', 'environment', 'network', 'scientific research', 'decision making', 'mitigation', 'dichotomy', 'policy making', 'data', 'novel paradigm', 'theory', 'reconceptualization', 'island', 'research advance', 'paradigm', 'planning', 'research effort', 'inference', 'practical perspective', 'oversimplification', 'causal', 'research', 'concept', 'system', 'framework', 'science', 'perspective', 'phenomenon', 'simplicity', 'community', 'inadequacy', 'new framework', 'learning', 'convenient concept', 'recent research', 'machine', 'study', 'dynamic', 'learning technique', 'singular', 'decision', 'definition', 'advanced technique', 'light', 'survey', 'advance', 'recent research advance', 'significant advance', 'world', 'policy', 'technique', 'frontier', 'decade', 'effort', 'addition', 'progress', 'today', 'making', 'Past decade', 'convenient', 'aim', 'exclusive aim']"
4,62,"['urban thermal exposure', 'human mobility pattern', 'dynamic heat monitoring', 'heat hazard risk', 'air temperature data']",135,"['urban thermal exposure', 'human heat exposure', 'heat vulnerability index', 'dynamic heat monitoring', 'heat monitoring', 'temperature data', 'mobility data', 'urban environment', 'heat hazard risk', 'varying heat exposure', 'heat hazard', 'heat hazard pattern', 'thermal exposure index', 'air temperature data', 'heat mitigation', 'human mobility', 'human mobility pattern', 'human heat', 'heat mitigation strategy', 'heat exposure', 'smartphone location data', 'heat sensitivity', 'thermal exposure', 'heat vulnerability', 'dynamic heat', 'heat monitoring capability', 'sustainable city', 'location data', 'temperature', 'sensor data', 'air temperature', 'extensive sensor data', 'heat', 'sensor data generates', 'smartphone location', 'varying heat', 'high thermal exposure', 'anonymized smartphone location', 'urban planning', 'exposure index', 'climate', 'climate change', 'city', 'foot traffic', 'Extreme heat', 'sensor', 'traffic', 'Current heat', 'Current heat vulnerability', 'data', 'extensive sensor', 'urban resident', 'mobility pattern', 'route planning', 'mobility', 'urban center', 'route', 'human movement pattern', 'human movement', 'vulnerability index', 'data generates', 'smartphone', 'anonymized smartphone', 'hazard pattern', 'hazard risk', 'comfort', 'vulnerable location', 'environment', 'mitigation measure', 'activity', 'mitigation strategy', 'exposure', 'air', 'planning', 'different activity', 'sensitivity', 'stadium', 'dynamic nature', 'mitigation', 'area', 'people', 'football stadium', 'monitoring', 'index', 'vulnerability', 'place', 'movement', 'information', 'DTEx', 'measure', 'movement pattern', 'health', 'location', 'pattern', 'spot', 'risk', 'hazard', 'model', 'risk communication', 'parameter', 'insight', 'policymakers', 'monitoring capability', 'nature', 'rich detail', 'volume', 'community', 'Background', 'light', 'change', 'machine', 'large volume', 'plazas', 'varying', 'gameday', 'human congregation', 'resident', 'foot', 'Method', 'communication', 'football', 'generates rich detail', 'generates', 'detail', 'capability', 'novel', 'football gameday', 'strategy', 'Discussion', 'factor', 'technique', 'congregation', 'critical factor', 'Result', 'center']"
4,102,"['low carbon city', 'machine learning method', 'urban planning scheme', 'built environment factor', 'alleviate urban heat']",82,"['low carbon city', 'alleviate urban heat', 'urban block carbon', 'urban planning', 'carbon emission map', 'urban planning scheme', 'block carbon emission', 'urban heat island', 'built environment factor', 'carbon emission', 'machine learning method', 'Towards low carbon', 'urban block', 'low carbon', 'machine learning', 'urban level', 'carbon city', 'environment factor', 'city', 'urban heat', 'good prediction performance', 'prediction result', 'representative small city', 'block carbon', 'built environment', 'learning method', 'prediction performance', 'prediction', 'planning scheme', 'small city', 'emission map', 'carbon', 'central city', 'good prediction', 'map', 'environment', 'heat island', 'learning', 'emission', 'accuracy', 'absolute percentage error', 'percentage error', 'data', 'heat', 'BPNN', 'planning', 'study', 'effective way', 'mean absolute percentage', 'reduction', 'absolute percentage', 'different function', 'block', 'density', 'machine', 'factor', 'mean absolute', 'key role', 'method', 'percentage', 'morphology', 'average value', 'south', 'perspective', 'various source', 'comparison', 'way', 'function', 'performance', 'result', 'Towards', 'level', 'error', 'island', 'source', 'role', 'alleviation', 'absolute', 'scheme', 'obvious variation', 'value', 'variation']"
4,178,"['urban design', 'thermal load', 'Mediterranean climate', 'metamodels', 'Forest algorithm']",65,"['urban design', 'urban design process', 'urban configuration', 'early urban design', 'Mediterranean climate', 'building', 'energy demand', 'metamodels', 'urban form', 'urban scale', 'thermal zone', 'urban dwelling', 'thermal load', 'thermal', 'urban site', 'machine learning', 'heating', 'climate', 'datasets', 'Forest algorithm', 'single thermal zone', 'Random Forest algorithm', 'energy simulation', 'single thermal', 'design process', 'dynamic energy simulation', 'learning', 'dwelling', 'energy balance', 'adjacency', 'design', 'morphological indicator', 'energy', 'geometrical parameter', 'shape', 'dynamic energy', 'zone', 'simulation', 'study', 'shading', 'machine', 'algorithm', 'configuration', 'Carlo dynamic energy', 'parameter', 'scale', 'workflow', 'site', 'streamlined workflow', 'demand', 'tool', 'influence', 'accurate feedback', 'load', 'feedback', 'form', 'compactness', 'novel method', 'process', 'indicator', 'goal', 'paper', 'method', 'set', 'balance']"
4,201,"['Thermal comfort prediction', 'sustainable architecture', 'machine learning', 'energy engineering modeling', 'urban atmosphere']",192,"['Thermal comfort prediction', 'outdoor thermal comfort', 'sustainable architecture', 'Thermal comfort', 'engineering energy modeling', 'sustainable architecture strategy', 'thermal comfort improvement', 'comfort prediction', 'energy engineering modeling', 'statistical energy modeling', 'urban environment', 'urban design', 'urban design strategy', 'engineering modeling', 'urban atmosphere', 'energy modeling', 'thermal', 'machine learning', 'supervised machine learning', 'architecture', 'green infrastructure influence', 'green sidewalk', 'green infrastructure', 'engineering energy', 'landscape designer', 'heating', 'energy engineering', 'supervised machine', 'building', 'cooling', 'effective design', 'architect', 'urban study', 'design method', 'air quality', 'similar sidewalk', 'statistical energy', 'comfort improvement', 'effective design strategy', 'climate', 'efficient model', 'sidewalk', 'urban scale', 'prediction', 'ventilation', 'climate zone', 'living space', 'architecture strategy', 'learning', 'design strategy', 'mathematical model', 'construction', 'engineering', 'comfort', 'SML error evaluation', 'comfort preparation', 'energy', 'modeling', 'atmosphere', 'design', 'error evaluation', 'new methodology', 'input data', 'environment', 'data set', 'PMV mathematical model', 'planning', 'design goal', 'landscape', 'urban health', 'algorithms', 'green space', 'simulation process', 'accuracy', 'data', 'footprint', 'methodology', 'error evaluation function', 'city', 'designer', 'future', 'air', 'infrastructure influence', 'optimum morphology', 'evaluation function', 'evaluation', 'previous project', 'Python advantage', 'current model', 'SML error', 'healthy place', 'similar field', 'perspective', 'model', 'infrastructure', 'mean vote', 'study', 'project', 'pattern', 'machine', 'Practical implication', 'trustable input data', 'study achievement', 'structure', 'concept', 'life span', 'vision', 'efficient strategy', 'similar study', 'processing', 'similar study follow', 'preparation', 'final reliable', 'new subject', 'relationship', 'result confirm', 'simulation', 'living', 'vote', 'process', 'average', 'feature', 'study follow', 'field', 'quality', 'research', 'strategy', 'Social implication', 'scale', 'behavior', 'zone', 'applicant', 'subject', 'method', 'place', 'case', 'health', 'advantage', 'result', 'improvement', 'exact result', 'integration', 'influence', 'people', 'high quality', 'insight', 'input', 'reliable', 'space', 'help', 'majority', 'new vision', 'Purpose', 'policymakers', 'error', 'element', 'morphology', 'trustable input', 'operational phase', 'way', 'occurred error', 'life', 'tool', 'phase', 'goal', 'system', 'function', 'output', 'confirm', 'monitor', 'time', 'step', 'span', 'Finding', 'impact', 'quantity', 'variety', 'money', 'implication', 'significant part', 'main part', 'follow', 'notable impact', 'existed element', 'achievement', 'new insight', 'part', 'final step', 'past', 'item', 'set', 'Limitation']"
4,228,"['boosted regression tree', 'colder air', 'urban planning', 'topographic wind index', 'machine learning']",106,"['boosted regression tree', 'regression tree', 'urban heat island', 'boosted regression', 'colder air mass', 'urban planning', 'colder air', 'urban area', 'wind index', 'topographic wind index', 'machine learning technique', 'study city', 'dense urban center', 'topographic wind', 'machine learning', 'urban open space', 'urban heat', 'wind', 'predictor', 'regression', 'important predictor', 'nocturnal warming', 'prediction', 'air mass', 'city', 'spatial distribution', 'warming', 'path identification', 'Model transfer', 'entire city', 'German city', 'air', 'colder', 'heat', 'topographic position index', 'urban center', 'spatial transferability', 'heat island', 'elevation', 'topographic position', 'model performance', 'tree', 'BRT model', 'spatial domain', 'surroundings', 'area', 'general model', 'transport', 'planning', 'path occurrence', 'rural surroundings', 'important mitigation aspect', 'path', 'learning', 'characteristic curve', 'relative surface elevation', 'morphological structure', 'helpful information', 'summer', 'important mitigation', 'promising method', 'mitigation', 'learning technique', 'influence', 'mitigation aspect', 'surface elevation', 'transferability', 'model', 'suitable basis', 'open space', 'comparable range', 'relative surface', 'effect', 'range', 'transfer', 'information', 'structure', 'field', 'study', 'position index', 'machine', 'mass', 'technique', 'performance', 'curve', 'method', 'distribution', 'surface', 'basis', 'field measurement', 'space', 'measurement', 'index', 'identification', 'receiver', 'position', 'approach', 'aspect', 'island', 'result', 'difference', 'center', 'occurrence', 'domain', 'condition', 'vital approach']"
4,338,"['sustainable travel', 'decision tree', 'environment determinant', 'metropolitan area', 'threshold effect']",64,"['sustainable travel', 'environment determinant', 'desirable environmental benefit', 'environmental benefit', 'environment factor', 'land use diversity', 'land use', 'decision tree', 'land use policy', 'metropolitan area', 'transit stop', 'transportation', 'built environment feature', 'built environment', 'environment', 'emission', 'threshold effect', 'job density', 'environment variable', 'transit', 'data', 'travel', 'environment feature', 'Paul metropolitan area', 'use diversity', 'distance', 'land', 'influence', 'planner', 'decision', 'tree', 'threshold effect offer', 'environment element', 'density', 'area', 'benefit', 'variable', 'effect', 'substantial impact', 'certain range', 'stop', 'diversity', 'gradient', 'determinant', 'range', 'feature', 'factor', 'effect offer', 'impact', 'valuable implication', 'offer valuable implication', 'implication', 'study', 'use policy', 'use', 'gap', 'policy', 'element', 'result show', 'job', 'show', 'literature', 'result', 'offer']"
4,371,"['urban thermal environment', 'floor area ratio', 'urban spatial structure', 'land surface temperature', 'environment mitigation planning']",83,"['urban thermal environment', 'land surface temperature', 'physical urban form', 'urban spatial structure', 'urban ecological infrastructure', 'thermal environment mitigation', 'Urban green space', 'urban form feature', 'urban area', 'temperature weather', 'thermal environment', 'urban form', 'high temperature weather', 'building morphology', 'surface temperature', 'weather', 'floor area ratio', 'environment mitigation planning', 'temperature', 'environment mitigation', 'extreme high temperature', 'land surface', 'urban center', 'regression', 'city', 'machine learning', 'area ratio', 'mitigation planning', 'ecological infrastructure', 'spatial structure', 'city manager', 'building', 'land', 'floor area', 'high temperature', 'area', 'environment', 'green space', 'form feature', 'summer', 'planner', 'learning', 'surface', 'mitigation', 'infrastructure', 'floor', 'planning', 'density', 'study', 'form', 'season', 'structure', 'feature', 'body', 'significant positive effect', 'morphology', 'LST variation', 'dominant effect', 'key element', 'observation scale', 'water body', 'ratio', 'scale', 'negative influence', 'relative contribution', 'space', 'positive effect', 'perspective', 'influence', 'change', 'effect', 'Result', 'element', 'manager', 'magnitude', 'water', 'direction', 'machine', 'observation', 'contribution', 'variation', 'center', 'impact']"
4,379,"['urban geometric form', 'energy performance', 'hierarchical clustering algorithm', 'building', 'geometric indicator']",66,"['urban geometric form', 'urban geometric type', 'urban geometry', 'urban planning', 'building geometry', 'capture urban geometry', 'energy efficiency', 'energy performance pattern', 'urban block', 'hierarchical clustering', 'hierarchical clustering algorithm', 'geometric type', 'energy performance', 'geometric form', 'geometric characteristic', 'major geometric characteristic', 'building', 'clustering algorithm', 'geometric indicator', 'clustering', 'geometry', 'block planning', 'area', 'energy pattern', 'city', 'geometric parameter', 'energy', 'performance pattern', 'energy impact', 'regression analysis', 'insulation', 'efficiency', 'design', 'pattern', 'real city', 'planning', 'analysis', 'algorithm', 'performance', 'implementation', 'target area', 'regression', 'significant indicator', 'characteristic', 'study', 'Conventional approach', 'material', 'block', 'form', 'parameter', 'capacity', 'machine', 'indicator', 'method', 'type', 'capture', 'approach', 'significance', 'result', 'reference', 'paper', 'impact', 'target', 'focus', 'aim', 'step']"
4,421,"['particle swarm optimization', 'agricultural afforestation area', 'smart city management', 'carbon sequestration potential', 'optimal zoning']",78,"['particle swarm optimization', 'swarm optimization method', 'swarm optimization', 'particle swarm', 'smart city management', 'agricultural afforestation area', 'urban planning', 'maximum carbon sequestration', 'smart city', 'carbon sequestration potential', 'agricultural afforestation program', 'carbon sequestration', 'optimization method', 'agricultural afforestation', 'optimal zoning', 'city system', 'city management', 'food productivity', 'food productivity decrease', 'current food productivity', 'maximum carbon', 'afforestation area', 'PSO model', 'spatial heterogeneity', 'climate', 'zoning', 'sequestration potential', 'climate change', 'optimization', 'machine learning', 'city', 'afforestation program', 'swarm', 'spatial estimation', 'environmental quality', 'productivity decrease ratio', 'carbon', 'area', 'productivity decrease', 'current food', 'particle', 'decrease ratio', 'decrease', 'planning', 'method', 'learning', 'afforestation', 'sequestration', 'intelligence', 'application', 'problem', 'program', 'important way', 'change', 'machine', 'food', 'small loss', 'estimation', 'article', 'management', 'loss', 'different scenario', 'productivity', 'potential', 'model', 'heterogeneity', 'ratio', 'scenario', 'system', 'quality', 'way', 'complicate', 'major restriction', 'research', 'level', 'high level', 'restriction', 'efficacy']"
